pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
130.0,-122.5,180.0,bottom,C1,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,22uF/10V(20%),smt
164.5,-75.5,-90.0,bottom,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
158.0,-87.5,90.0,bottom,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
130.0,-127.0,180.0,bottom,C2,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,22uF/10V(20%),smt
130.0,-111.5,180.0,bottom,C3,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
130.0,-114.85,180.0,bottom,C4,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7uF/6.3V(10%),smt
135.5,-80.0,0.0,bottom,C5,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,22uF/10V(20%),smt
135.375,-75.5,0.0,bottom,C6,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
129.0,-80.0,0.0,bottom,C7,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
174.0,-120.5,180.0,bottom,C8,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
163.5,-120.5,180.0,bottom,C9,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF/50V(10%),smt
146.76,-100.0,0.0,top,D1,,,LED_D5.0mm-4_RGB_Wide_Pins,WS2812B,tht
125.5,-127.0,90.0,bottom,D2,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,RED LED,smt
122.883034,-126.97108,90.0,bottom,D3,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,BLUE LED,smt
150.0,-127.5,180.0,bottom,J1,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
153.5,-118.31,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
123.0,-123.0,90.0,bottom,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2k,smt
157.55,-118.31,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
125.5,-123.0,-90.0,bottom,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2k,smt
137.5,-114.0,0.0,bottom,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22K(5%),smt
137.5,-117.45,180.0,bottom,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47K,smt
137.5,-111.0,180.0,bottom,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt
137.5,-108.0,180.0,bottom,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
129.0,-75.5,180.0,bottom,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
150.0,-80.0,-90.0,bottom,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,220,smt
176.375,-128.2875,180.0,top,SW1,,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,(BOOT),tht
165.775,-128.2875,180.0,top,SW2,,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,(EN),tht
171.25,-73.25,0.0,top,SW3,,,SW_PUSH_6mm_H13mm,(CTRL),tht
137.5,-125.15,-90.0,bottom,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
145.5,-114.5,90.0,bottom,U2,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
129.615,-93.0,-90.0,bottom,U3,,,ESP32-WROOM-32,ESP32-WROOM-32,smt
146.19,-86.23,0.0,top,U4,,,DIP-4_W7.62mm,PC817,tht
150.0,-74.5,180.0,bottom,U5,,,Untitled,~,tht
