Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",1210,3,22uF/10V(20%),
"C10, C11, C3, C6, C7, C8, C9",1206,7,0.1uF/50V(10%),
C4,1206,1,4.7uF/6.3V(10%),
D1,LED_D5.0mm-4_RGB_Wide_Pins,1,WS2812B,
D2,0603,1,RED LED,
D3,0603,1,BLUE LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1k,
"R10, R3, R6",0805,3,2k,
R4,0805,1,22K(5%),
R5,0805,1,47K,
"R7, R8",0805,2,10K,
R9,0805,1,220,
SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,(BOOT),
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,(EN),
SW3,SW_PUSH_6mm_H13mm,1,(CTRL),
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,
U4,DIP-4_W7.62mm,1,PC817,
U5,Untitled,1,~,
