Designator,Mid X,Mid Y,Rotation,Layer
C1,130.0,-122.5,0.0,bottom
C10,164.5,-75.5,270.0,bottom
C11,158.0,-87.5,90.0,bottom
C2,130.0,-127.0,0.0,bottom
C3,130.0,-111.5,0.0,bottom
C4,130.0,-114.85,0.0,bottom
C5,135.5,-80.0,180.0,bottom
C6,135.375,-75.5,180.0,bottom
C7,129.0,-80.0,180.0,bottom
C8,174.0,-120.5,0.0,bottom
C9,163.5,-120.5,0.0,bottom
D1,149.9985,-100.0,0.0,top
D2,125.5,-127.0,90.0,bottom
D3,122.883034,-126.97108,90.0,bottom
J1,150.0,-127.5,0.0,bottom
R1,153.5,-114.5,90.0,top
R10,123.0,-123.0,90.0,bottom
R2,157.55,-114.5,90.0,top
R3,125.5,-123.0,270.0,bottom
R4,137.5,-114.0,180.0,bottom
R5,137.5,-117.45,0.0,bottom
R6,137.5,-111.0,0.0,bottom
R7,137.5,-108.0,0.0,bottom
R8,129.0,-75.5,0.0,bottom
R9,150.0,-80.0,270.0,bottom
SW1,174.12,-126.955,180.0,top
SW2,163.52,-126.955,180.0,top
SW3,174.5,-75.5,0.0,top
U1,137.5,-125.15,90.0,bottom
U2,145.5,-114.5,180.0,bottom
U3,129.615,-93.0,270.0,bottom
U4,150.0,-87.5,0.0,top
U5,150.0,-74.5,0.0,bottom
